2019-11-23 00:12:03.422830
 + Exec time : 18.980811595916748
 + number of files : 10
    tf            idf
emphasizes: 0.003802      2.302585
models: 0.019011      1.203973
idiomatic: 0.003802      2.302585
Python.: 0.003802      2.302585
into: 0.049430      0.356675
prominent: 0.003802      2.302585
multidimensional: 0.007605      1.609438
From: 0.003802      2.302585
laundry: 0.003802      2.302585
list: 0.003802      2.302585
was: 0.003802      2.302585
built: 0.015209      1.203973
first: 0.019011      0.916291
accessible: 0.003802      2.302585
foundational: 0.003802      2.302585
generation: 0.003802      2.302585
things:: 0.003802      2.302585
any: 0.019011      0.916291
allow: 0.007605      1.609438
they: 0.007605      1.609438
latest: 0.003802      2.302585
ArXiV: 0.003802      2.302585
carry: 0.003802      2.302585
practice,: 0.003802      2.302585
perform: 0.007605      1.609438
PyTorch.: 0.015209      1.609438
simplicity.: 0.003802      2.302585
find: 0.003802      2.302585
debug.: 0.003802      2.302585
used: 0.022814      0.916291
Tensor: 0.007605      2.302585
which: 0.038023      0.916291
additional: 0.007605      1.609438
pretend: 0.003802      2.302585
don’t: 0.011407      1.609438
late: 0.003802      2.302585
“machine: 0.003802      2.302585
heavily: 0.003802      2.302585
original: 0.003802      2.302585
tell: 0.003802      2.302585
zeros: 0.003802      2.302585
given: 0.007605      1.609438
looking: 0.003802      2.302585
often: 0.007605      1.609438
powerful.: 0.003802      2.302585
technologies,: 0.003802      2.302585
aren’t: 0.003802      2.302585
reasons).: 0.003802      2.302585
depth: 0.003802      2.302585
among: 0.003802      2.302585
lays: 0.003802      2.302585
execution: 0.011407      1.609438
even: 0.003802      2.302585
figure: 0.019011      1.203973
figures,: 0.003802      2.302585
b: 0.003802      2.302585
: 0.026616      1.203973
closely: 0.003802      2.302585
backpropagation: 0.003802      2.302585
accordingly.: 0.003802      2.302585
differentiation: 0.007605      1.609438
represents: 0.003802      2.302585
inputs: 0.007605      1.609438
traverses: 0.003802      2.302585
engine.: 0.003802      2.302585
achieved: 0.003802      2.302585
traversing: 0.003802      2.302585
consolidation: 0.003802      2.302585
moving: 0.003802      2.302585
lately: 0.003802      2.302585
At: 0.007605      1.609438
PyTorch’s: 0.003802      2.302585
consolidated: 0.003802      2.302585
First,: 0.003802      2.302585
there’s: 0.003802      2.302585
ways: 0.007605      2.302585
pure-Python: 0.003802      2.302585
web: 0.003802      2.302585
wrap: 0.003802      2.302585
Indeed,: 0.003802      2.302585
called: 0.003802      2.302585
torch: 0.003802      2.302585
GPU.: 0.003802      2.302585
willing: 0.003802      2.302585
second: 0.003802      2.302585
analytically: 0.003802      2.302585
torch.autograd.: 0.003802      2.302585
spectrum: 0.003802      2.302585
loading: 0.003802      2.302585
work: 0.003802      2.302585
